shock,pi0_fire,pi0_hybrid,ratio_hybrid_over_fire,cum_pi_fire,cum_pi_hybrid
supply,0.110012,0.157185,1.4288,1.04087,1.4024
demand,0.13053,0.112378,0.860938,1.3692,1.72383
