scenario,peak_pi,min_y,max_abs_phi,t_peak_pi,t_min_y,peak_pi_after_delay,min_y_after_delay,note
baseline,0.09312822951656964,-0.16873543683761744,0.036851072771719826,79,79,0.09312822951656964,-0.16873543683761744,"Table 1: phi_pi=1.7131, rho_i=0.8179"
earlier,0.06810518636501209,-0.15841062754465918,0.033825274127803284,79,79,0.06810518636501209,-0.15841062754465918,"Earlier from t=0: phi_pi=1.88441 (+10%), rho_i=0.73611 (×0.9)"
stronger_delayed,0.07523076536285564,-0.17077229519123127,0.036851072771719826,79,79,0.07523076536285564,-0.17077229519123127,"Baseline until t=8, then phi_pi=1.88441 (+10%); rho_i stays 0.8179"
