# Peg-length robustness for the SAME sterilising device. scenario_a=1 is the default H only. H=40 is a robustness case, not the baseline. stoch_simul is not in this file.
H,scenario_a,quarter,y,ph,cs,cb,ib,ib_nom,ib_il,rl_bp,i_bp
12,1,8,-0.50788769,-2.5968916,-0.54989642,-1.0256921,0.10575793,0.12166629,-0.015908357,47.233926,2.5669094e-14
12,1,9,-0.49071573,-2.5968441,-0.50652,-1.0377641,0.12086273,0.12937455,-0.0085118212,42.384543,1.8482268e-14
12,1,10,-0.47230032,-2.565953,-0.46680868,-1.0377296,0.13416639,0.13590178,-0.0017353897,38.016539,-1.7270165e-14
12,1,11,-0.45308519,-2.5108955,-0.43058361,-1.0278114,0.14581741,0.14136519,0.0044522193,34.081675,-2.709004e-17
12,1,12,-0.43340911,-2.4370451,-0.39758681,-1.0099083,0.15595551,0.1458712,0.010084311,30.536535,2.6179052e-14
12,1,13,-0.4124746,-2.3486816,-0.36655961,-0.98192057,0.16471077,0.14951636,0.015194404,27.34204,-3.5156374
12,1,14,-0.39168435,-2.2513484,-0.33813206,-0.94715956,0.17222576,0.15240906,0.019816693,24.562328,-5.8655583
12,1,15,-0.37142579,-2.1492208,-0.31237883,-0.90811352,0.17862949,0.15464293,0.023986562,22.135614,-7.2803312
12,1,16,-0.35192092,-2.0453843,-0.28915972,-0.86668778,0.18403755,0.15629877,0.02773877,20.00894,-7.9619002
12,1,17,-0.33329285,-1.9420655,-0.2682607,-0.82431424,0.18855285,0.15744641,0.031106439,18.137208,-8.0839272
12,1,18,-0.31560124,-1.8408227,-0.2494519,-0.78204328,0.19226682,0.15814623,0.034120582,16.482235,-7.7931741
12,1,19,-0.29886334,-1.7427005,-0.23251108,-0.74062116,0.19526053,0.15845058,0.03680995,15.011867,-7.2115322
12,1,20,-0.28306777,-1.6483547,-0.2172324,-0.70055507,0.19760603,0.158405,0.039201033,13.699144,-6.4384202
12,1,21,-0.26818412,-1.5581529,-0.20342928,-0.66216722,0.19936737,0.15804923,0.041318145,12.521549,-5.5533457
12,1,22,-0.25416993,-1.4722528,-0.19093446,-0.62563948,0.20060169,0.15741813,0.043183563,11.460332,-4.6184866
12,1,23,-0.24097585,-1.390664,-0.17959912,-0.59104963,0.20136007,0.1565424,0.044817665,10.49991,-3.6811887
12,1,24,-0.2285494,-1.3132956,-0.16929144,-0.55840055,0.20168835,0.15544925,0.046239093,9.6273418,-2.7763104
12,1,25,-0.2168376,-1.2399922,-0.15989507,-0.52764326,0.20162781,0.15416291,0.047464907,8.83188,-1.9283705
12,1,26,-0.20578893,-1.1705603,-0.15130762,-0.4986949,0.20121576,0.15270503,0.048510728,8.1045792,-1.1534762
12,1,27,-0.19535448,-1.1047881,-0.14343911,-0.47145243,0.20048601,0.15109513,0.049390882,7.4379697,-0.46102158
12,1,28,-0.18548873,-1.042459,-0.13621061,-0.44580287,0.19946935,0.14935083,0.050118525,6.8257822,0.14483984
12,1,29,-0.17614993,-0.98336116,-0.12955291,-0.4216307,0.19819387,0.14748811,0.050705758,6.2627189,0.66394039
12,1,30,-0.1673002,-0.92729289,-0.12340538,-0.39882304,0.19668529,0.14552156,0.051163736,5.744265,1.0990448
12,1,31,-0.15890544,-0.8740665,-0.11771484,-0.37727305,0.19496723,0.14346447,0.051502762,5.2665356,1.4549806
12,1,32,-0.15093514,-0.82350966,-0.11243469,-0.356882,0.1930614,0.14132903,0.051732363,4.8261513,1.7379323
12,1,33,-0.14336209,-0.7754658,-0.10752399,-0.3375603,0.19098781,0.13912643,0.051861374,4.4201394,1.9548796
12,1,34,-0.13616206,-0.72979346,-0.10294675,-0.3192278,0.18876493,0.13686694,0.051897994,4.0458547,2.1131593
12,1,35,-0.12931342,-0.68636523,-0.098671258,-0.30181362,0.18640983,0.13455998,0.051849847,3.7009183,2.2201333
12,1,36,-0.12279685,-0.64506634,-0.094669538,-0.28525551,0.18393827,0.13221424,0.051724031,3.3831693,2.2829435
12,1,37,-0.11659498,-0.60579308,-0.090916822,-0.26949913,0.18136485,0.12983769,0.051527159,3.090628,2.3083411
12,1,38,-0.11069212,-0.56845128,-0.087391138,-0.25449714,0.17870304,0.12743764,0.051265403,2.8214674,2.3025727
12,1,39,-0.10507397,-0.53295484,-0.084072941,-0.24020824,0.17596531,0.12502079,0.050944521,2.5739923,2.2713146
12,1,40,-0.099727402,-0.49922435,-0.08094479,-0.22659632,0.17316318,0.12259329,0.05056989,2.3466227,2.2196425
20,0,1,-0.39512698,-0.7563406,-0.54873064,-0.30232611,-0.034390116,0.022328196,-0.056718312,100,1.7904091e-14
20,0,2,-0.49533251,-1.3420723,-0.72998697,-0.51337335,-0.023302905,0.042543657,-0.065846562,89.998473,1.3287547e-14
20,0,3,-0.53582388,-1.7849768,-0.76306359,-0.67526817,-0.00027692356,0.060533372,-0.060810295,80.997055,2.1008674e-15
20,0,4,-0.5488591,-2.1107889,-0.73855568,-0.79882413,0.024515983,0.076411827,-0.051895843,72.895735,-6.506956e-14
20,0,5,-0.5483469,-2.3415723,-0.69367642,-0.89131917,0.048067776,0.090350545,-0.042282769,65.604502,-6.0864677e-14
20,0,6,-0.54051638,-2.4957364,-0.64352916,-0.95818798,0.069576957,0.10252656,-0.032949608,59.042344,5.0296906e-15
20,0,7,-0.52834318,-2.5884803,-0.59407984,-1.0037712,0.08892185,0.11310746,-0.024185608,53.136355,3.3042818e-14
20,0,8,-0.51339184,-2.6322959,-0.54753383,-1.031668,0.10618655,0.1222476,-0.016061056,47.820914,5.2841734e-15
20,0,9,-0.49658775,-2.6374264,-0.50456239,-1.0449193,0.12151239,0.13008791,-0.0085755173,43.036967,1.317252e-14
20,0,10,-0.47854483,-2.6122571,-0.4652232,-1.0461159,0.13505112,0.13675655,-0.0017054268,38.731362,1.4249573e-15
20,0,11,-0.45970808,-2.5636413,-0.42933986,-1.0374715,0.14695018,0.14236995,0.0045802298,34.856264,-2.1171492e-14
20,0,12,-0.44041863,-2.497169,-0.39665733,-1.020878,0.15734837,0.14703384,0.010314533,31.36862,-3.6982805e-14
20,0,13,-0.42094569,-2.417389,-0.3669047,-0.99795009,0.16637479,0.15084413,0.015530664,28.229683,-5.4154274e-14
20,0,14,-0.4015042,-2.32799,-0.33981976,-0.97006243,0.17414901,0.15388789,0.020261121,25.404582,-1.7010613e-14
20,0,15,-0.38226584,-2.2319511,-0.31515776,-0.93838185,0.18078144,0.15624407,0.024537367,22.86193,-3.4590855e-14
20,0,16,-0.36336678,-2.1316638,-0.29269383,-0.90389519,0.18637395,0.1579843,0.028389649,20.573481,-5.8244244e-14
20,0,17,-0.34491366,-2.0290331,-0.27222281,-0.86743342,0.19102042,0.15917352,0.031846906,18.513814,-2.4634896e-14
20,0,18,-0.32698833,-1.92556,-0.25355818,-0.82969277,0.19480731,0.15987059,0.034936719,16.660048,-7.4274903e-14
20,0,19,-0.30965188,-1.8224089,-0.2365306,-0.79125312,0.19781417,0.16012889,0.037685284,14.991591,-5.2523235e-14
20,0,20,-0.29294797,-1.7204619,-0.22098647,-0.75259404,0.20011417,0.15999676,0.040117415,13.489911,-3.3620917e-14
20,0,21,-0.27648048,-1.6203634,-0.20639286,-0.71262186,0.2017746,0.15951799,0.042256614,12.138327,-1.4055919
20,0,22,-0.26076518,-1.5234295,-0.19300211,-0.67250679,0.20286615,0.15874055,0.044125595,10.961535,-2.2714452
20,0,23,-0.24589323,-1.4305241,-0.18082941,-0.63306522,0.20345222,0.15770559,0.045746634,9.9318975,-2.7184757
20,0,24,-0.2318916,-1.3421642,-0.16980005,-0.59486966,0.20358928,0.15644837,0.047140906,9.0261475,-2.8492939
20,0,25,-0.21875178,-1.2586058,-0.15981028,-0.55830107,0.2033274,0.15499924,0.048328161,8.2248173,-2.7495215
20,0,26,-0.20644471,-1.179913,-0.15075194,-0.52359186,0.20271094,0.15338433,0.049326608,7.5117117,-2.4893926
20,0,27,-0.19492951,-1.1060136,-0.1425223,-0.49086115,0.20177919,0.15162625,0.050152938,6.8734251,-2.1254824
20,0,28,-0.18415883,-1.0367425,-0.13502749,-0.46014362,0.20056703,0.14974464,0.050822394,6.2989083,-1.702454
20,0,29,-0.1740825,-0.9718749,-0.12818336,-0.43141293,0.19910551,0.14775664,0.05134887,5.7790845,-1.2547522
20,0,30,-0.16464999,-0.91115181,-0.12191529,-0.40460035,0.19742234,0.14567732,0.051745026,5.3065146,-0.80819433
20,0,31,-0.15581203,-0.85429892,-0.11615752,-0.3796094,0.19554235,0.14351995,0.052022397,4.8751072,-0.3814296
20,0,32,-0.14752175,-0.80104009,-0.11085233,-0.35632722,0.19348786,0.14129636,0.0521915,4.4798716,0.01275015
20,0,33,-0.13973538,-0.75110682,-0.1059492,-0.33463313,0.19127901,0.13901708,0.052261933,4.1167086,0.36625375
20,0,34,-0.13241253,-0.70424437,-0.10140402,-0.31440491,0.18893404,0.13669156,0.052242472,3.7822361,0.67468693
20,0,35,-0.12551641,-0.66021551,-0.0971783,-0.29552325,0.18646951,0.13432836,0.052141147,3.4736442,0.9364948
20,0,36,-0.11901373,-0.61880237,-0.093238471,-0.27787481,0.18390052,0.13193519,0.051965326,3.1885769,1.1522406
20,0,37,-0.11287457,-0.57980698,-0.089555274,-0.26135404,0.18124087,0.12951909,0.051721777,2.9250361,1.3240083
20,0,38,-0.10707219,-0.54305085,-0.086103175,-0.24586424,0.17850318,0.12708645,0.051416731,2.681305,1.4549165
20,0,39,-0.10158269,-0.50837389,-0.082859869,-0.23131794,0.17569905,0.12464312,0.051055933,2.4558866,1.5487292
20,0,40,-0.096384787,-0.475633,-0.079805836,-0.21763676,0.17283911,0.12219442,0.050644689,2.2474566,1.6095509
