# Scenario (b): short-rate path news scaled to +100 bp on R^L. News innovation (qp)=1.04652. Bank Rate is not sterilised.
quarter,i_bp,pi_bp,rl_bp,tp_bp,reh_bp,rm_bp,rms_bp,reff_bp,ril_bp,nu_bp,y,c,cs,cb,inv,hi,q,k,h,ph,rer,ib,nx,dg,nfa,bm,e_ster_bp
19,6.2595731,8.5647333,54.92487,-4.138199e-12,54.92487,40.325281,51.739032,23.94268,78.274098,2.3599834,-0.48805676,-0.50457932,0.47334562,-2.1001411,-0.73460359,-4.7139885,-4.4076216,-0.42930288,-0.71545102,-14.141966,0.10496903,0.55110636,0.094148358,15.405212,6.0877025,-14.667066,0
20,10.095699,14.521034,56.299596,-4.02082e-12,56.299596,42.438427,50.901978,24.831606,77.131395,1.7699875,-0.4153027,-0.37056906,0.65236867,-2.0395727,-0.72943115,-4.536831,-4.3765869,-0.43680609,-0.74220068,-13.610493,0.023438348,0.5640254,0.076160786,14.828471,6.1944548,-14.638773,0
21,14.40483,19.619866,57.604791,-3.8982352e-12,57.604791,44.644802,50.338832,25.731968,75.935646,1.3274906,-0.35407206,-0.25638982,0.80939924,-1.9953088,-0.72537907,-4.3828163,-4.3522744,-0.44402041,-0.76768499,-13.148449,-0.062316615,0.57472613,0.059993974,14.248957,6.2855767,-14.573735,0
22,18.963208,23.998654,58.825129,-3.7731094e-12,58.825129,46.866552,50.026327,26.641121,74.702645,0.99561798,-0.30234786,-0.15859835,0.94903223,-1.9657851,-0.72212634,-4.2514047,-4.3327581,-0.45097306,-0.79207103,-12.754214,-0.14915694,0.58362715,0.045473199,13.672198,6.3626357,-14.481265,0
23,23.602318,27.770738,59.951171,-3.6474878e-12,59.951171,49.046515,49.938144,27.556232,73.444922,0.74671349,-0.25847356,-0.074372514,1.0747991,-1.9493367,-0.71942802,-4.1415659,-4.3165681,-0.45768444,-0.81551749,-12.424698,-0.23480212,0.59106584,0.032437114,13.102574,6.4270458,-14.36957,0
24,28.198046,31.029623,60.977975,-3.5230437e-12,60.977975,51.143997,50.04667,28.474412,72.172409,0.56003511,-0.22109196,-0.0014067,1.1893862,-1.9442794,-0.71709914,-4.051925,-4.3025949,-0.4641698,-0.83817235,-12.155775,-0.31764085,0.59731362,0.020738102,12.543528,6.4800806,-14.245764,0
25,32.661492,33.852534,61.903962,-3.4008307e-12,61.903962,53.131221,50.32428,29.392806,70.892964,0.42002634,-0.18909265,0.062178636,1.2948169,-1.9489681,-0.71500164,-3.9808807,-4.2900098,-0.4704406,-0.86017131,-11.942642,-0.39657787,0.60258858,0.010242005,11.997734,6.5228859,-14.115899,0
26,36.931304,36.303367,62.73002,-3.2819643e-12,62.73002,54.990406,50.744231,30.308664,69.612798,0.31501975,-0.16156767,0.11791379,1.3925999,-1.9618372,-0.71303389,-3.9266996,-4.2782033,-0.47650543,-0.881637,-11.780099,-0.47091142,0.60706583,0.00082749502,11.467232,6.5564917,-13.985024,0
27,40.967405,38.43511,63.458798,-3.1672502e-12,63.458798,56.71138,51.281275,31.219382,68.336813,0.23626481,-0.13777444,0.16704418,1.4838493,-1.9814274,-0.71112238,-3.8875906,-4.2667343,-0.48237086,-0.90267868,-11.662772,-0.54023585,0.61088585,-0.0076147512,10.953546,6.5818241,-13.857262,0
28,44.745912,40.291841,64.094148,-3.0572461e-12,64.094148,58.289677,51.912031,32.122535,67.068873,0.17719861,-0.11710519,0.21058373,1.5693806,-2.0064006,-0.70921512,-3.8617617,-4.2552907,-0.48804196,-0.92339226,-11.585285,-0.60436518,0.61416134,-0.015182976,10.457779,6.5997156,-13.73589,0
29,48.255076,41.91034,64.640708,-2.952014e-12,64.640708,59.725019,52.6152,33.015891,65.812016,0.13289896,-0.099061785,0.24935877,1.6497856,-2.0355482,-0.70727642,-3.8474633,-4.2436585,-0.49352282,-0.94386076,-11.54239,-0.66327341,0.6169827,-0.021965283,9.9806853,6.6109148,-13.623422,0
30,51.492074,43.321422,65.103579,-2.8516159e-12,65.103579,61.020127,53.371643,33.897421,64.568625,0.099674218,-0.083235203,0.28404401,1.725492,-2.0677922,-0.70528287,-3.8430202,-4.2316972,-0.49881682,-0.96415487,-11.52906,-0.71704842,0.61942244,-0.028040569,9.5227399,6.6160949,-13.521704,0
31,54.460494,44.551005,65.488085,-2.7562377e-12,65.488085,62.179808,54.164378,34.765296,63.340561,0.074755664,-0.069288863,0.31519174,1.7968084,-2.1021828,-0.70322017,-3.8468529,-4.219321,-0.50392691,-0.98433376,-11.540559,-0.7658567,0.62153875,-0.033479406,9.0841871,6.6158622,-13.431991,0
32,57.168396,45.620988,65.799599,-2.6659414e-12,65.799599,63.210238,54.978505,35.617887,62.129272,0.056066748,-0.056945065,0.34325552,1.863959,-2.1378923,-0.70108072,-3.8574932,-4.2064843,-0.50885575,-1.0044459,-11.57248,-0.80991655,0.62337837,-0.038344882,8.665085,6.6107628,-13.355035,0
33,59.62682,46.54996,66.043418,-2.5803551e-12,66.043418,64.118439,55.801099,36.453753,60.935876,0.042050061,-0.045974024,0.36860937,1.9271104,-2.1742081,-0.69886175,-3.8735919,-4.1931705,-0.5136059,-1.0245299,-11.620776,-0.84947809,0.62497882,-0.042693361,8.2653412,6.6012894,-13.291159,0
34,61.848665,47.353779,66.224678,-2.4991071e-12,66.224678,64.911874,56.621069,37.271636,59.761226,0.031537546,-0.036185003,0.39156316,1.9863903,-2.2105233,-0.69656386,-3.8939234,-4.1793832,-0.51817985,-1.0446157,-11.68177,-0.88480839,0.62637031,-0.046575203,7.884742,6.5878865,-13.24033,0
35,63.84785,48.046042,66.348294,-2.4220112e-12,66.348294,65.598161,57.429007,38.070445,58.605968,0.023653159,-0.027419139,0.4123751,2.0419028,-2.2463279,-0.69419003,-3.917385,-4.1651402,-0.52258011,-1.064725,-11.752155,-0.91618069,0.62757716,-0.050035397,7.5229773,6.5709561,-13.202219,0
36,65.6387,48.638467,66.418928,-2.3489437e-12,66.418928,66.18486,58.217034,38.84925,57.470576,0.017739869,-0.019543641,0.43126168,2.0937378,-2.2811993,-0.69174472,-3.9429953,-4.1504683,-0.52680922,-1.0848729,-11.828986,-0.9438668,0.62861897,-0.053114153,7.1796599,6.5508618,-13.176267,0
37,67.23551,49.141207,66.440968,-2.2791608e-12,66.440968,66.679331,58.978641,39.607264,56.355392,0.013304902,-0.012447094,0.44840572,2.141979,-2.3147927,-0.68923334,-3.9698888,-4.1354,-0.53086983,-1.105068,-11.909666,-0.96813168,0.62951162,-0.055847424,6.8543429,6.5279333,-13.161729,0
38,68.65223,49.563108,66.418524,-2.2128485e-12,66.418524,67.088635,59.70854,40.343837,55.260645,0.0099786766,-0.0060356501,0.46396281,2.1867083,-2.3468324,-0.6866618,-3.9973102,-4.1199708,-0.53476462,-1.1253137,-11.991931,-0.98923001,0.63026798,-0.058267384,6.5465333,6.5024696,-13.157725,0
39,69.902268,49.911917,66.355425,-2.1492631e-12,66.355425,67.419478,60.402525,41.058441,54.186478,0.0074840074,-0.00022993939,0.47806643,2.2280093,-2.3771035,-0.6840362,-4.0246075,-4.1042172,-0.53849641,-1.1456088,-12.073822,-1.0074039,0.63089851,-0.060402846,6.2557036,6.4747424,-13.163279,0
40,70.998358,50.194456,66.255231,-2.0880946e-12,66.255231,67.678169,61.057333,41.75066,53.132961,0.0056130056,0.0050374489,0.49083216,2.265969,-2.4054437,-0.68136257,-4.051224,-4.0881754,-0.54206807,-1.1659481,-12.153672,-1.0228818,0.63141179,-0.06227965,5.981301,6.4449992,-13.177349,0
